City,ID,lat,lon,mean_temp,mean_clouds,mean_pop,score
Collioure,26,42.52505,3.0831554,32.53,7.666666666666667,0.0,18.751333333333335
Lyon,16,45.7578137,4.8320114,32.24333333333333,12.375,0.0,18.1085
Avignon,21,43.9492493,4.8059012,30.566666666666666,3.0,0.0,18.04
Toulouse,28,43.6044622,1.4442469,31.776666666666667,11.0,0.0025,17.965249999999997
Grenoble,15,45.1875602,5.7357819,30.483333333333334,3.625,0.0,17.9275
Marseille,19,43.2961743,5.3699525,29.55666666666667,0.6666666666666666,0.0,17.667333333333335
Carcassonne,27,43.2130358,2.3491069,29.566666666666666,2.0,0.006666666666666667,17.538
Aix en Provence,20,43.5298424,5.4474738,29.05666666666667,1.6666666666666667,0.0,17.267333333333333
Cassis,18,43.2140359,5.5396318,28.74666666666667,0.6666666666666666,0.0,17.181333333333335
Nimes,23,43.8374249,4.3600687,29.096666666666664,4.333333333333333,0.0,17.024666666666665
Bormes les Mimosas,17,43.1506968,6.3419285,28.400000000000002,0.3333333333333333,0.0,17.006666666666664
Uzes,22,44.0121279,4.4196718,28.923333333333332,10.375,0.0,16.316499999999998
Saintes Maries de la mer,25,43.4522771,4.4287172,28.80666666666667,10.333333333333334,0.0,16.250666666666664
Annecy,14,45.8992348,6.1288847,29.386666666666667,19.5,0.0,15.681999999999999
Montauban,29,44.0175835,1.3549991,28.653333333333336,16.25,0.00125,15.566625000000002
Aigues Mortes,24,43.5658225,4.1912837,26.95,12.375,0.0,14.932499999999997
Dijon,13,47.3215806,5.0414701,25.363333333333333,21.875,0.01,13.0275
Besancon,12,47.2380222,6.0243622,26.233333333333334,31.75,0.0,12.565
Bayonne,31,43.4945144,-1.4736657,22.80666666666667,17.5,0.0,11.934000000000001
Colmar,10,48.0777517,7.3579641,24.909999999999997,32.0,0.0075,11.743749999999999
Eguisheim,11,48.0447968,7.3079618,24.98,32.666666666666664,0.00875,11.718708333333332
Biarritz,30,43.4832523,-1.5592776,22.586666666666662,18.875,0.0,11.664499999999997
La Rochelle,32,46.1591126,-1.1520434,21.253333333333334,13.0,0.0,11.452
Strasbourg,8,48.584614,7.7507127,24.310000000000002,47.2,0.0,9.866
Chateau du Haut Koenigsbourg,9,48.2495226,7.3454923,21.39,31.333333333333332,0.0,9.700666666666667
Paris,5,48.8534951,2.3483915,22.919999999999998,64.0,0.0,7.3519999999999985
Mont Saint Michel,0,48.6359541,-1.511459954959514,19.88,48.0,0.20124999999999998,7.067624999999998
St Malo,1,48.649518,-2.0260409,19.62,47.125,0.132,7.0199
Bayeux,2,49.2764624,-0.7024738,18.69125,48.5,0.07625000000000001,6.341874999999999
Le Havre,3,49.4938975,0.1079732,19.208750000000002,53.625,0.05,6.14775
Rouen,4,49.4404591,1.0939658,19.985,64.0,0.08625000000000001,5.565125
Lille,7,50.6365654,3.0635282,19.53,63.0,0.01125,5.414624999999999
Amiens,6,49.8941708,2.2956951,19.2575,61.875,0.043750000000000004,5.353874999999999
